Instruction,ins[6:2],ins[14:12],ins[30],BrEq,BrLt,PCSel,ImmSel[2:0],BrUn,ASel,BSel,ALUSel[3:0],MemRW,RegWEn,WBSel[1:0],CSRSel,CSRWen
add,01100,000,0,*,*,0,*,*,0,0,0000,0,1,01,*,*
mul,01100,000,0,*,*,0,*,*,0,0,1010,0,1,01,*,*
sub,01100,000,1,*,*,0,*,*,0,0,1100,0,1,01,*,*
sll,01100,001,0,*,*,0,*,*,0,0,0110,0,1,01,*,*
mulh,01100,001,0,*,*,0,*,*,0,0,1110,0,1,01,*,*
slt,01100,010,0,*,*,0,*,*,0,0,0111,0,1,01,*,*
xor,01100,100,0,*,*,0,*,*,0,0,0011,0,1,01,*,*
srl,01100,101,0,*,*,0,*,*,0,0,0100,0,1,01,*,*
sra,01100,101,1,*,*,0,*,*,0,0,0101,0,1,01,*,*
or,01100,110,0,*,*,0,*,*,0,0,0010,0,1,01,*,*
and,01100,111,0,*,*,0,*,*,0,0,0001,0,1,01,*,*
lb,00000,000,*,*,*,0,000,*,0,1,0000,0,1,00,*,*
lh,00000,001,*,*,*,0,000,*,0,1,0000,0,1,00,*,*
lw,00000,010,*,*,*,0,000,*,0,1,0000,0,1,00,*,*
addi,00100,000,*,*,*,0,000,*,0,1,0000,0,1,01,*,*
slli,00100,001,0,*,*,0,000,*,0,1,0110,0,1,01,*,*
slti,00100,010,*,*,*,0,000,*,0,1,0111,0,1,01,*,*
xori,00100,100,*,*,*,0,000,*,0,1,0011,0,1,01,*,*
srli,00100,101,0,*,*,0,000,*,0,1,0100,0,1,01,*,*
srai,00100,101,1,*,*,0,000,*,0,1,0101,0,1,01,*,*
ori,00100,110,*,*,*,0,000,*,0,1,0010,0,1,01,*,*
andi,00100,111,*,*,*,0,000,*,0,1,0001,0,1,01,*,*
sb,01000,000,*,*,*,0,001,*,0,1,0000,1,0,*,*,*
sh,01000,001,*,*,*,0,001,*,0,1,0000,1,0,*,*,*
sw,01000,010,*,*,*,0,001,*,0,1,0000,1,0,*,*,*
beq,11000,000,*,0,*,0,010,0,1,1,0000,0,0,*,*,*
beq,11000,000,*,1,*,1,010,0,1,1,0000,0,0,*,*,*
bne,11000,001,*,0,*,1,010,0,1,1,0000,0,0,*,*,*
bne,11000,001,*,1,*,0,010,0,1,1,0000,0,0,*,*,*
blt,11000,100,*,*,0,0,010,0,1,1,0000,0,0,*,*,*
blt,11000,100,*,*,1,1,010,0,1,1,0000,0,0,*,*,*
bge,11000,101,*,1,0,1,010,0,1,1,0000,0,0,*,*,*
bge,11000,101,*,*,*,0,010,0,1,1,0000,0,0,*,*,*
bltu,11000,110,*,*,0,0,010,1,1,1,0000,0,0,*,*,*
bltu,11000,110,*,*,1,1,010,1,1,1,0000,0,0,*,*,*
bgeu,11000,111,*,1,0,1,010,1,1,1,0000,0,0,*,*,*
bgeu,11000,111,*,*,*,0,010,1,1,1,0000,0,0,*,*,*
auipc,00101,*,*,*,*,0,011,*,1,1,0000,0,1,01,*,*
lui,01101,*,*,*,*,0,011,*,*,1,1101,0,1,01,*,*
jal,11011,*,*,*,*,1,100,*,1,1,0000,0,1,10,*,*
jalr,11001,000,*,*,*,1,000,*,0,1,0000,0,1,10,*,*
csrw,11100,001,*,*,*,0,*,*,*,*,*,0,1,01,0,1
csrwi,11100,101,*,*,*,0,*,*,*,*,*,0,1,01,1,1
